fichier,titre,auteur,langue,genre,groupe,inclus,raison_exclusion,dossier
Martereau_French_Edition_-_Sarraute_Nathalie.pdf,Martereau,Sarraute Nathalie,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
La_fille_de_la_colline_French_Edition_-_Sevin_Sahin.epub,La fille de la colline,Sevin Sahin,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Enlevee_par_le_destin__les_territoires_alpha__French_Edition_-_Shannon_mayer.epub,Enlevee par le destin les territoires alpha,Shannon mayer,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
The_Memory_Bookshop_-_Song_Yu-jeong.epub,The Memory Bookshop,Song Yu-jeong,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
La_poussiere_des_souvenirs_French_Edition_-_Suzanne_Abel.epub,La poussiere des souvenirs,Suzanne Abel,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Cent_ans_de_solitude__Gabriel_Garcia_Marquez.pdf,Cent ans de solitude Gabriel Garcia Marquez,UNKNOWN,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
pedro_paramo.pdf,pedro paramo,UNKNOWN,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
le-bruit-et-la-fureur.pdf,le,bruit-et-la-fureur,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Le_Clan_de_Montreal_French_Edition_-_sunny_TAJ.epub,Le Clan de Montreal,sunny TAJ,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
yakuza_French_Edition_-_vanessa.epub,yakuza,vanessa,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
Un_rendez-vous_avec_Connie_Bowler_French_Edition_-_Monica_Benitez.epub,Un rendez,vous avec Connie Bowler French Edition - Monica Benitez,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
